player,suggest_1,sugges_score_1,suggest_2,sugges_score_2,suggest_3,sugges_score_3
jbljzyrq,qznmkkjb,188.79282,bbzrkjpg,183.07486,bbnpmqam,94.90149
jbolmgmv,vwddkdzo,155.91182,bzqpnook,99.75025,jrmzndrj,99.0313
jbolowyl,qzqnwboz,184.51814,nnvpdywa,178.87492,zgyddrwd,96.55164
jbooankd,rbjrrnrl,95.56517,bbpzwggl,94.40219,azormlbb,92.12754
jboobmgl,mmrknamp,96.1053,pjbrmlnj,96.01408,gqanpbjk,94.20266
jboozwlw,kpzowkno,185.77544,azojmzgj,177.35622,gqldmwqd,173.54506
jbozaybb,azormlbb,92.12754,zgqjravo,92.10172,azlnkgjj,91.59382
jbrvjpwd,pjnmgdak,187.66026,kpyrwobz,99.67354,rbqqjwjr,97.97563
jbrwabyz,jrqbmrzv,97.77633,gqanaqdk,95.78098,lropkqgj,94.55164
jbrwmvwd,wqkvjdmo,96.62989,dvpadgrl,92.16137,pjrqzzrb,91.30789
jbrwozwn,wqrbjgjq,98.33333,zgvldojv,97.56182,lvaoyyda,96.74506
jbrzydom,bbzrkjpg,183.07486,pjnmgdak,93.83013,wqdoavdv,93.79577
jbvgmplv,rbvzmlov,291,kmljappy,214.83302,azbwqvqy,186.83184
jbvgqqlj,krmyjqkq,100.26009,rrokrgwl,99.27175,pjokwvqy,98.07582
jbvmlnmd,rbvzqjvw,97.62412,kpnmqjmj,95.40141,oqrwllkz,94.30404
jbvmrbmd,pjowzngv,97.77668,rbvzqjvw,97.62412,kpnmwdvw,97.23229
jbvmydrz,prkqrbvp,97.15023,wqkvjdmo,96.62989,dvmpnpvm,95.74086
jbvmykdr,kpnjllkq,290.92272,azbaqqml,194.07982,mmgzywyw,191.55112
jbvmyzdq,pjowzngv,97.77668,rbvzqjvw,97.62412,kpnmwdvw,97.23229
jbvwnpgp,vnygzgbg,100.01704,rbvzzgva,98.33363,zgvldojv,97.56182
jbwraobl,kmljappy,107.41651,bbvmwqln,99.24759,mmrlorpk,98.45919
jbwryogj,zgyqgjgg,187.11268,dvlzrwon,186.52126,pjrqzygz,177.23606
jbwryzkm,dvmpnpvm,95.74086,lvdradqj,94.79141,pjmdlovq,89.43863
jbwrzvmn,zgyqwrbq,98.4574,oqzjmkpg,95.72392,lvdrajaq,95.25978
jbwrzyvy,vnygzgbg,100.01704,zgvldojv,97.56182,kpnjdbwb,97.13916
jlyklrqk,wojjyyrl,70.88889,qnjjvrlo,68.7295,wojjlqdq,68.19274
jlyybbny,rbvzmlov,194,jbvgmplv,189.31502,rqpppkqg,157.45692
jlyykqqo,bzqpnook,99.75025,jrmzndrj,99.0313,oqrwvjbq,98.00672
jmqmodky,pwykgqbg,108.08349,kmljappy,107.41651,gbvzblpr,103.50861
jpqlvvjvm,vnygzgbg,100.01704,dvaqlpbg,98.58307,pjokwvqy,98.07582
jpqzjmgzl,rbvzqjvw,97.62412,kpnmqjmj,95.40141,jbvmlnmd,95.34898
jpqzjpkdo,kpzowkno,185.77544,azojmzgj,177.35622,dvlddrja,174.70072
jpqzljwgb,krmyjqkq,100.26009,rrokrgwl,99.27175,pjokwvqy,98.07582
jpqzljwrk,mlzqlkrw,105.10493,aoarzvqy,97.37339,ojaknokp,94.70815
jrgzyglq,nrbkylnj,187.53542,dpdgmzmo,187.22214,pjowzngv,97.77668
jrmlvrkm,krmyjqkq,100.26009,rrokrgwl,99.27175,prwmopvb,97.63438
jrmooqyd,mmgwbyqz,180.54248,wvvnmrng,100.43349,vnyzdaqo,99.37332
jrmwqavz,nrwvvngb,102.43498,prwmorwl,99.49614,dpqmvmno,99.05196
jrmzndrj,bzqpnook,99.75025,oqrwvjbq,98.00672,azbaqqml,97.03991
jrpkzyyp,wvpjmvyn,95.94332,gnogrrgg,95.86368,gnogwlky,95.0446
jrqbmrzv,wqrbjvkp,194.4796,qzbogpnd,180.46142,vnyzdaqo,99.37332
kglbkklwb,pjnmgdak,93.83013,jbrzydom,91.86266,bbzrkjpg,91.53743
kglbvjpvg,yvyjbprvw,88.56112,oadnyykpb,85.07713,ddwlajwlb,84.14395
kglbvmpkd,yvyjbprvw,88.56112,oadnyykpb,85.07713,ddwlajwlb,84.14395
kglbvvjpp,rbvzqjvw,97.62412,kpnmqjmj,95.40141,jbvmlnmd,95.34898
kglbvvrmm,mmrknamp,96.1053,pjbrmlnj,96.01408,gqanpbjk,94.20266
kglonbgdv,jbwryzkm,97.67948,dvmpnpvm,95.74086,lvdradqj,94.79141
kglonkklm,azormlbb,184.25508,gbvzjrrk,109.41393,vnygzgbg,100.01704
kglonkkqj,nbdpyknmp,93.23881,mqybggpwn,89.41166,vmbwyagqj,89.11723
kglonnrnb,yvyjbprvw,88.56112,oadnyykpb,85.07713,ddwlajwlb,84.14395
kglonokzm,nbdpyknmp,93.23881,mqybggpwn,89.41166,vmbwyagqj,89.11723
kmljappy,pwykgqbg,324.25047,azjoqmpa,194.67812,jbvgmplv,189.31502
koaagbaz,dlkkbbwz,79.83646,rqppzowl,79.73433,rqpppkqg,78.72846
koaajzgz,oqjzrbnv,538.38774,bbyzamap,345.47408,azjoqmpa,292.01718
koaalwdk,oqjzrbnv,269.19387,azyqnzlr,180.22066,kpdrqgrk,177.06226
koaaowmk,azjoqmpa,97.33906,jbwryogj,96.66197,mmpbwzvy,94.94914
koaapvzq,wqdoavdv,93.79577,zgbpbbgo,91.87471,jbrzydom,91.86266
kpdkzrda,pjgpnmyk,91.00807,dvnpmody,90.97233,azyqnzlr,90.11033
kpdrkabb,dvayndgy,96.98826,dvaqjqbv,96.32017,jbawvlnn,94.48756
kpdrqgrk,bbyzamap,690.94816,oqjzrbnv,628.11903,azyqnzlr,450.55165
kpnjdbwb,azbaqqml,388.15964,zgvldojv,292.68546,mbaaopdm,291.80592
kpnjllkq,azbaqqml,582.23946,mmgzywyw,478.8778,oqrwvjbq,392.02688
kpnmaaqk,pjowzngv,97.77668,rbvzqjvw,97.62412,kpnmwdvw,97.23229
kpnmaozy,rbvzqjvw,195.24824,kpyrwobz,99.67354,rbvzzgva,98.33363
kpnmbgdl,pjowzngv,97.77668,rbvzqjvw,97.62412,kpnmwdvw,97.23229
kpnmddpy,vpgoddzj,99.37711,zqljdvmp,99.26816,dvaqlpbg,98.58307
kpnmqjmj,dvaqbvkv,280.45776,pjokwvqy,196.15164,rbvzqjvw,195.24824
kpnmwdvw,rbvzboqa,186.34468,vnygzgbg,100.01704,pjowzngv,97.77668
kpnnnavo,dpqmvmno,99.05196,dpqrzvyr,98.79731,wvbkpqkp,96.52275
